NR90	spc	sample	cpm	data	FMT_group	name	prot
UniRef90_A0A2A6ZC87	unclassified	Cosmic_40	0	shotgun_metagenomics	FMT_grp_4	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_41	0	shotgun_metagenomics	FMT_grp_5	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_45	0	shotgun_metagenomics	FMT_grp_7	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_46	0	shotgun_metagenomics	FMT_grp_6	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_48	0.282606	shotgun_metagenomics	FMT_grp_9	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_51	0	shotgun_metagenomics	FMT_grp_10	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_52	0	shotgun_metagenomics	FMT_grp_6	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_53	0	shotgun_metagenomics	FMT_grp_8	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_54	0	shotgun_metagenomics	FMT_grp_11	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_56	0	shotgun_metagenomics	FMT_grp_10	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_57	0.126786	shotgun_metagenomics	FMT_grp_7	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_58	0.252362	shotgun_metagenomics	FMT_grp_9	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_60	0	shotgun_metagenomics	FMT_grp_11	after_FMT	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_1-892	15.0348	shotgun_metagenomics	FMT_grp_1	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_11-821	0	shotgun_metagenomics	FMT_grp_10	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_12-1052	0	shotgun_metagenomics	FMT_grp_11	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_2-901	0	shotgun_metagenomics	FMT_grp_2	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_3-911	7.18531	shotgun_metagenomics	FMT_grp_3	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_4-913	0	shotgun_metagenomics	FMT_grp_4	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_5-915	0	shotgun_metagenomics	FMT_grp_5	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_6-955	0	shotgun_metagenomics	FMT_grp_6	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_6-955	0	shotgun_metagenomics	FMT_grp_8	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_7-983	0	shotgun_metagenomics	FMT_grp_7	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	HD_8-964	0	shotgun_metagenomics	FMT_grp_9	donor	Proline Transport protein
UniRef90_R6VR12	g__Alistipes.s__Alistipes_sp_CAG_268	Cosmic_27	0	shotgun_metagenomics	FMT_grp_1	before_FMT	Proline Transport protein
