clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria|p__Firmicutes|c__CFGB30287	0.00402	0.00166	0	0.00631	0.00168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.00396	0.00863	0	0.0068	0.00065	0.02022	0.01709	0.01595	0	0	0	0	0.00741	0	0	0	0	0.00029	0	0.0079	0	0	0	0	0.01348	0.00183	0	0.01618	0	0.01052	0.00609
k__Bacteria|p__Firmicutes|c__CFGB4623	0.00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3070	0.00304	0.00466	0	0.01868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0.09808
k__Bacteria|p__Firmicutes|c__CFGB9119	0.00304	0.23088	0	0.53749	0.08162	0	0	0.02736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01558	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3040	0.00173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB82363	0.00128	0.01122	0	0.00747	0.0012	0	0	0.02423	0	0	0	0	0	0	0	0	0	0	0.01123	0	0	0	0	0	0	0	0	0	0	0	0.06272
k__Bacteria|p__Firmicutes|c__CFGB1227	0.00056	0.01223	0.016	0.01771	0.00402	0.01197	0.0395	0.00569	0.01121	0	0	0	0.04515	0	0	0	0	0.06357	0	0.02159	0	0	0	0	0.01921	0.01262	0	0.03154	0	0.05604	0.02612
k__Bacteria|p__Firmicutes|c__CFGB3038	0.0004	0	0	0.00647	0.00201	0	0	0.01236	0	0	0	0	0.01314	0	0	0	0	0.05597	0.03015	0.00443	0	0	0	0	0.00217	0.01515	0	0	0	0.22104	0.29052
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	11.55502	1.15114	0.21105	3.90427	9.32953	0.09215	0.37402	6.813	0.15579	0.59101	0	0	34.61242	0	0	0	28.04523	26.13973	34.0349	35.60299	0	0.19454	56.49509	0.30509	22.34607	20.51528	0.00212	34.71336	41.7337	19.7993	20.57191
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	7.72039	7.50951	1.15134	5.14963	6.84251	1.24816	0.6267	6.45061	1.05259	0.99926	0	0	1.06662	0	0	0	1.43526	2.73421	0.16444	0.57231	0	0	0	0	0.45673	2.33585	0	2.10733	1.45989	1.92294	0.45989
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	4.11092	8.84114	5.17555	2.86459	2.62021	19.13748	3.03142	13.71233	6.2039	10.17335	0	2.11032	0.17249	0	0	0	0.47927	2.10995	0.52633	2.30851	0.85502	0.06987	16.29353	0	4.79198	0.03828	0	4.32468	7.15479	6.65437	2.24209
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	1.65346	0	0	0	1.92355	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07635	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1.12277	0	0.0266	0	0.924	0	0.02778	0	0.02607	0.02199	0	0	0.88219	9.23688	1.04231	0	0.73434	0	0.59209	0.13257	0	0	0	0	0	0	0	0	4.83199	1.18954	0.67138
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.85625	0.74016	1.25652	0.99081	0.96934	0.9882	1.13344	0.25477	1.30859	0.58343	0	0	0.19952	0	0	0	0.33754	0.32929	0.13692	0.08111	0	0	0.48658	0.00172	0.05865	0.13258	0	0.43008	0.12389	0.40108	1.01217
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.84947	1.13771	0	0.80278	0.52646	0	0	0.84883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02753	0	0.02924	0.10052	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.80834	0.57297	0.42538	0.2339	0.91454	0.80637	0.51239	0.07983	0.57741	0.87858	0.72779	20.22523	0.3229	0.12731	0.10834	48.48424	10.7808	0.02647	0.41195	0.06943	0.94653	8.0503	0.35534	13.51917	0.02813	0.21288	1.43011	3.33478	0.35049	0.21722	1.07529
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.71733	0.36174	0	1.34562	1.18207	0	0	0.42332	0	0	0	0	0.00138	0	0	0	0	0	1.73988	0	0	0	0	0	0	0.40007	0	0	0	0	6.99855
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988	0.58267	0	0	0	0.72752	0	0	0	0	0	0	0	0.09935	0	0	0	0.02294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	0.5399	0	0	0	0.01888	0	0	0	0	0	0	0	1.23804	0	0	0	0.38168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.47531	1.08948	1.16588	0.72834	0.24514	1.1875	1.55713	0.38146	1.43126	2.00276	0	0.0016	0.03444	0	0	0	0.35059	1.74204	0.19606	0.13989	0	0	0	0	0.18807	0.13031	0	4.97461	2.1979	0.35778	1.99329
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	0.35009	0.0023	0	0.00419	0.10323	0	0	0.01973	0	0	0	0	0	0	0	0	0	0	0.03248	0	0	0	0	0	0	0.00429	0	0	0	0	0.67072
