pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-6518: bile acids epimerization	0	0	9.8107e-7	0	0	1.07182e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52263e-7	0	2.40978e-6
P221-PWY: octane oxidation	0	0	9.34607e-7	0	0	1.04015e-6	2.85249e-6	5.77077e-7	0	0	6.22081e-5	1.44657e-5	0	1.80675e-4	1.62718e-4	8.78517e-6	5.13206e-6	0	0	0	7.17688e-5	1.48045e-4	2.98016e-6	4.88247e-5	0	0	1.46773e-4	8.01112e-6	4.94968e-7	3.07048e-7	1.09661e-6
PWY-5656: mannosylglycerate biosynthesis I	0	0	9.03838e-7	0	0	2.89528e-7	5.0431e-7	0	0	0	5.29864e-5	4.57451e-5	0	0	4.78257e-5	2.25566e-5	2.19148e-6	0	0	0	8.28801e-5	2.47095e-5	0	7.17959e-5	0	0	4.77678e-5	8.44289e-6	0	2.67916e-7	8.51511e-7
PWY-6876: isopropanol biosynthesis (engineered)	0	0	6.67463e-7	1.86988e-6	1.46275e-6	3.45923e-7	1.65909e-6	9.3654e-7	0	0	0	0	0	0	0	1.07538e-5	0	0	0	0	1.38424e-6	5.03365e-6	1.59132e-6	2.76555e-5	4.06509e-7	1.04031e-6	0	1.96282e-5	3.89407e-6	1.66483e-6	1.43946e-6
PWY-5392: reductive TCA cycle II	0	0	6.06899e-7	0	0	0	2.94293e-6	0	0	0	0	0	0	3.05718e-5	5.3777e-7	0	6.08496e-6	0	2.42483e-6	0	0	0	0	0	0	0	4.33135e-5	5.27053e-6	1.2371e-6	0	9.5503e-7
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	0	0	5.45336e-7	0	0	1.51126e-7	0	0	0	1.74158e-7	1.84016e-4	4.22707e-5	8.38123e-7	0	9.46824e-5	3.73212e-5	1.06885e-6	0	0	0	1.2717e-4	9.25846e-5	4.98362e-6	1.63224e-4	9.93129e-7	0	6.39953e-5	3.59877e-6	3.17253e-6	0	6.8616e-6
PWY0-42: 2-methylcitrate cycle I	0	0	5.24769e-7	0	0	4.78046e-7	0	0	0	0	8.78083e-5	2.9553e-5	0	6.05654e-6	6.4389e-5	9.22679e-5	2.15548e-6	0	1.61227e-6	0	1.1702e-4	6.25822e-5	2.88476e-6	8.56098e-5	0	0	4.83768e-5	4.05617e-6	4.13624e-7	0	0
PWY-6749: CMP-legionaminate biosynthesis I	0	0	3.95451e-7	3.7625e-6	0	3.03737e-7	1.01638e-6	2.07104e-5	0	0	0	2.97514e-7	1.45807e-6	0	0	0	3.83366e-6	0	0	0	0	0	6.34986e-6	0	0	5.10406e-5	0	6.2637e-6	1.04898e-6	0	2.15248e-6
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0	0	3.1963e-7	0	1.12039e-6	2.54855e-7	2.16898e-7	1.20512e-6	0	6.44222e-7	0	1.0235e-5	0	0	0	0	3.60057e-6	0	0	0	1.38836e-7	0	4.91004e-7	0	2.60824e-6	2.43027e-6	0	1.72256e-6	3.97378e-6	2.5318e-7	2.27169e-6
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	2.31304e-7	0	0	6.36863e-7	1.04574e-6	0	0	0	1.53793e-4	2.81009e-5	0	1.1617e-4	1.28613e-4	1.23756e-4	1.22226e-5	0	3.98327e-6	0	1.10563e-4	1.40214e-4	3.42758e-6	1.33168e-4	0	0	1.16384e-4	1.18818e-5	0	0	0
PWY-7616: methanol oxidation to carbon dioxide	0	0	1.39447e-7	0	0	0	0	0	0	0	4.3945e-6	1.88815e-6	0	3.68157e-5	4.68384e-6	1.94613e-6	3.13291e-7	0	0	0	1.0321e-5	2.27182e-5	0	4.01298e-6	0	0	1.8837e-5	2.5143e-6	0	0	0
PWY-5747: 2-methylcitrate cycle II	0	0	1.16547e-7	0	0	0	0	0	0	0	8.57814e-5	1.9558e-5	0	6.05654e-6	6.25711e-5	8.73933e-5	1.35944e-6	0	1.45479e-6	0	7.33936e-5	5.57115e-5	1.57631e-6	8.2029e-5	0	0	4.83768e-5	2.7807e-6	0	0	0
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0	0	1.0342e-7	0	0	0	3.63444e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7159: 3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)	0	0	1.0342e-7	0	0	0	4.06087e-7	0	0	0	0	0	0	0	0	0	7.03415e-7	0	0	0	0	0	3.4835e-6	0	0	0	0	1.18033e-7	2.87957e-7	9.70881e-7	1.14465e-6
PWY-6807: xyloglucan degradation II (exoglucanase)	0	0	0	3.668e-6	0	0	0	5.59587e-6	0	0	0	0	9.98577e-6	0	0	0	0	7.00733e-5	3.15494e-6	5.59293e-6	0	0	0	0	9.38369e-6	8.28469e-6	0	1.6995e-5	1.8215e-5	9.0741e-6	2.61535e-6
PWY-5677: succinate fermentation to butanoate	0	0	0	2.29533e-6	0	0	0	0	0	0	0	8.17332e-6	1.12252e-6	0	0	0	4.89992e-6	5.34595e-6	0	0	1.91852e-6	0	3.33964e-6	0	2.21431e-6	2.06684e-6	0	7.15567e-6	9.11613e-6	0	3.93997e-7
PWY-7992: superpathway of menaquinol-8 biosynthesis III	0	0	0	2.03931e-6	0	0	0	9.0727e-6	0	0	0	0	0	0	0	0	0	1.40087e-5	4.85293e-6	4.91154e-6	0	1.91349e-5	0	0	7.97236e-6	1.35003e-5	1.49784e-5	2.92315e-6	7.7461e-6	1.61349e-5	1.52639e-5
PWY-7031: protein N-glycosylation (bacterial)	0	0	0	1.82643e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68957e-6	0	0	0	0	0	0	1.94565e-6	1.73847e-6	7.06691e-7	0	5.71393e-6
PWY-6920: 6-gingerol analog biosynthesis (engineered)	0	0	0	1.37601e-6	0	0	1.73346e-6	4.5426e-6	4.28525e-6	2.13234e-6	0	0	0	0	5.25008e-7	0	0	1.35287e-6	0	5.39445e-7	7.47467e-7	0	0	3.75279e-6	1.6142e-6	0	0	6.90929e-7	8.84527e-7	0	5.26023e-6
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0	0	0	7.86159e-7	0	0	0	3.74083e-6	0	0	0	0	0	0	0	0	0	5.73274e-6	1.84973e-6	1.94879e-6	0	7.6734e-6	0	0	3.06839e-6	5.43036e-6	5.87509e-6	1.10861e-6	3.01388e-6	6.91353e-6	5.95619e-6
PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I	0	0	0	5.69024e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
