pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	182.4319364972	201.2552064883	955.129501943	109.365455991	69.0130878839	302.8885026843	636.59972712	141.1544691259	399.0673846111	951.0615766382	13331.7863697599	2507.321327273	0	827.9515360702	9185.3113603382	1667.258785739	555.8267828831	0	20.3705252735	73.0320069122	4999.6237630466	11430.5231120057	86.7788092393	13052.3557032958	32.7564508448	0	12481.6568047381	268.1287522075	0	391.130679622	169.9867993733
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	178.1424069831	44.4576985859	700.03101261	64.4483492388	97.1101291593	724.4256742365	684.1872363811	1376.6640482032	365.1905850392	308.296234579	27001.7921235046	7297.3027294512	48.4973319254	2728.5187056536	22443.4635936257	8408.0031263836	1512.1841132799	0	312.7558821046	174.5291381762	8547.3176714914	23890.844859238	260.1769471034	19081.3907866808	959.0600974413	1323.2067692258	29382.1407412291	1217.2263184198	358.3989651191	136.9948859209	249.7259909672
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	176.6198020599	0	118.9627825183	0	0	41.4228667147	149.4707185664	0	0	0	21097.4423179722	3986.5850030974	0	3346.7164388684	23238.0430042655	2059.9324933206	1042.4259062293	19.4437838093	115.8988413063	26.7325412143	9326.7855159288	25551.0093650597	134.1918059016	14502.6246560634	0	0	29882.0054279191	844.1280092827	0	0	0
GLYOXYLATE-BYPASS: glyoxylate cycle	156.8010214592	16.5400595261	102.867280292	0	0	82.0565269268	126.8510813779	28.5183007738	47.1597532547	49.2898677837	16728.3663714676	3533.6491369452	0	3067.1472018139	22477.8953170114	4537.8995437745	719.0613425654	19.6186052557	103.9894545627	23.3986600852	9220.0499642564	22317.9702159483	91.8880875697	15165.1595135305	0	0	28904.6590816946	675.8770883742	0	18.6199327666	0
PWY-5918: superpathway of heme b biosynthesis from glutamate	154.8497705257	82.1282916101	276.2271706907	0	42.108620045	0	156.0763872707	190.9895089158	26.3179937077	214.2317545966	15202.5777370493	4635.5574044451	0	1886.7130746076	13062.9448145359	5542.422835839	994.7651409474	0	49.1156602731	130.1615460515	6505.0322878646	14680.9407294582	250.2935533064	15238.7781882782	73.6375478733	0	21976.9440229776	676.9105153001	0	308.0972813343	338.5910417404
PWY-6588: pyruvate fermentation to acetone	147.3535993725	360.284234313	1093.8147757613	432.507842048	42.6802671119	1074.5185391082	1407.2995938387	209.6705806029	445.7165400468	402.6271621616	2686.7240917702	811.7948585036	99.1995895038	344.8056908062	7539.3205370347	110.9362315757	361.907231174	254.877149443	231.9635049357	363.3486506093	831.7845560227	4117.7425744134	80.8817164466	1690.3234568586	95.9865638108	0	8161.4336995019	664.1240474035	630.5277976343	365.7789672377	946.4782074187
PWY-6349: CDP-archaeol biosynthesis	144.0736234182	219.4238460602	0	213.6336414842	90.2673214382	0	0	275.3615922994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5899324542	0	0
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	136.7166326668	220.9463151423	602.8225374865	352.9925189863	73.1066723007	640.2837032186	872.0937429603	510.9561302912	303.4853878335	296.0634399722	16300.5545031596	6883.9236838234	177.8663923528	2100.3568001965	14973.8110150645	7994.3237071387	1363.7008281291	334.1760084848	365.9268429195	258.7432180991	8445.3597668736	20890.8350166048	418.1613631555	19356.4810145922	81.1563716596	159.5818754891	26459.3700633319	1564.9290362775	1639.2603656221	255.543469336	442.9434821543
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	135.7625580616	0	96.1676794367	0	0	35.2440564024	0	0	0	0	20707.8719377116	3956.2855704365	0	3510.2882320544	22027.9356691853	1747.6424220521	805.4688138282	0	104.6100191178	22.7275192405	8866.0995192554	22813.7379730333	127.6870079228	13219.6767788747	0	0	31564.7729848014	760.8154038555	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	134.4041678642	278.5124127615	349.6818894002	295.4191595433	78.3904533131	293.2019740626	385.2078031942	198.9911993791	133.3191122762	317.8121884811	17719.2685192065	5049.180390665	145.3079495312	2442.3042173632	17770.7695013824	8306.8328018988	1824.9854267847	65.4790574829	295.4922235174	300.0170715372	7044.9367306414	18843.9466300373	427.691367836	19668.0945526763	430.5307843223	404.3256756071	28648.4951651287	1114.7281814649	502.4853047917	436.7633043785	1077.7861675623
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	132.4436784237	215.4264216082	0	171.0756078393	80.4312557568	0	0	292.7944985463	0	0	0	0	0	0	40.0688762755	0	0	0	0	0	33.8258494929	0	0	228.2773254644	0	0	0	0	41.0468915787	0	0
GLUCARDEG-PWY: D-glucarate degradation I	131.1076626993	0	127.8353672474	32.5009366086	0	69.6961166199	81.0664300008	46.6302562665	52.6354599103	50.7083284214	15954.7322797089	7968.9466532635	31.7209580401	2577.0836925362	22487.9696259436	3622.8698028258	253.8080273054	77.6923222052	154.3954206132	64.0460946764	7917.6725133447	19340.397549772	391.7087779692	11804.502793672	38.307791166	62.7310566451	25406.8073042256	597.8901687991	130.3152844177	19.0327830908	103.5485557468
PWY-6531: mannitol cycle	130.6766634554	0	246.4104237132	53.2305803578	102.5124794112	27.4387117505	193.3832240617	100.8122329391	24.2981162926	11.8820461146	13681.4415308365	4009.8281630466	748.8462104302	2184.4100620213	15625.7342528542	1835.1673540061	1902.0673103228	206.3375262337	151.8083017143	67.2068995046	5081.6857273088	12652.1900739863	45.8133142679	12545.1954485018	100.6697880484	40.166346362	17378.4585201341	562.8993894994	256.3191236143	139.3054257201	33.8407142656
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	126.4448447985	176.6471644816	0	144.0211056269	62.5381555068	0	0	235.5855366866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4277189386	0	0	24.3644482915	0	75.9885967505
PWY-5675: nitrate reduction V (assimilatory)	125.7151108585	0	30.0766137143	0	0	106.5312978525	0	0	0	19.5411837431	20778.6662303725	3469.8468414428	0	492.6493503352	11420.6902812353	3871.5808022373	673.71941865	18.1858875663	23.7080978732	19.9917012346	9940.2983959102	13826.8206486404	97.2640401679	15921.6502197732	0	0	11184.6473834209	514.0882743016	0	7.9352777644	11.4354085327
PWY-7254: TCA cycle VII (acetate-producers)	125.3443123405	0	104.3430234385	0	0	119.8719845972	0	0	40.794599375	50.9633915605	0	0	0	335.8823586607	27.9468205525	0	517.1803138155	0	200.8080595558	88.2691999442	0	0	0	0	0	30.7028230864	3475.699464498	162.8986656616	0	0	108.8576308041
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	117.6248195698	184.2413380775	0	124.4512184118	87.6949762936	0	0	267.0163316825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3682960641	0	0
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	112.1102363944	97.1742289413	26.1895964987	42.1126946146	48.921682659	52.7031375309	0	0	0	144.7741299327	176.3980444506	2544.6349257029	0	0	2921.5322595472	1819.4432275785	85.9910287085	0	114.5764621584	0	1189.0652965228	2089.7613397882	54.6574423759	2452.6109606962	0	68.1057338186	2783.9162068172	162.7785691367	77.687720773	0	148.0446846761
PWY-5690: TCA cycle II (plants and fungi)	111.382112956	29.2057713913	73.9388497647	124.4091371145	84.1649203106	0	0	66.33541356	0	24.9957065572	0	2915.2818076921	275.128356074	0	627.6939440879	0	1139.0368183497	32.7347501454	72.0261554852	301.3223615464	123.3671397173	0	145.3524031951	4896.828327578	0	196.433424499	0	291.9424422288	272.0319473759	121.2924957468	225.6710409049
PWY-6350: archaetidylinositol biosynthesis	110.8098749682	196.8239043853	0	155.3881637855	78.3019623304	0	0	256.0006216939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.5334159978	0	0
P161-PWY: acetylene degradation (anaerobic)	110.1099878557	178.6994612096	489.6758197265	286.5197243461	58.659679979	520.0859901759	714.8539582896	414.9807668515	246.2378466608	238.7124124253	35331.0466124088	7541.1057311825	142.948158388	3743.3506010932	27357.8532466152	8867.788865597	1144.1944760078	280.1826688684	297.4777290023	207.1134452426	10645.4081168819	29792.9121989081	341.9171855638	28302.37652115	65.4213132859	128.9691573177	30572.9571415448	1361.3552357174	1369.3966502545	206.1854506218	360.1065171636
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	108.3945759028	33.5816111546	13.8637042579	49.5156696996	56.6283635596	0	0	547.2889247601	0	85.3472345437	0	0	80.0248170086	0	0	112.632501558	269.1179193954	38.3364968468	119.6409072702	139.4478322376	0	0	1040.7465699871	533.8051326837	109.5028898138	0	0	445.1652746012	809.472571265	109.1002527235	0
