measure1	measure2	rho	p	type1	type2	Padj	Padj_taxa_metabo
Faecalibacterium_prausnitzii.t__SGB15342	feces_untarg_N-methylproline	0.48966513032551706	0.00517505506703675	species_relab	feces_untarg_metabo	0.01271673195562058	0.014096232085585176
GGB47687_SGB2286.t__SGB2286	feces_untarg_prolylhydroxyproline	-0.4898661744839029	0.00515393619263845	species_relab	feces_untarg_metabo	0.01267564243769699	0.014096232085585176
GGB47687_SGB2286.t__SGB2286	feces_untarg_proline	-0.4892274650705945	0.00522128609688055	species_relab	feces_untarg_metabo	0.01281317070989536	0.014116810558232598
Ruminococcus_gnavus.t__SGB4571	feces_untarg_N-methylproline	0.4881201462068038	0.00533983332597568	species_relab	feces_untarg_metabo	0.01301317850577971	0.01433117032339061
Lacrimispora_amygdalina.t__SGB4716	feces_untarg_proline	-0.4876256511503718	0.00539351145868313	species_relab	feces_untarg_metabo	0.01309880605462801	0.014369574324228777
Bacteroides_cellulosilyticus.t__SGB1844	feces_untarg_proline	-0.4854850644464632	0.00563122676180861	species_relab	feces_untarg_metabo	0.01352151164738931	0.014787034302590955
Barnesiella_intestinihominis.t__SGB1965	feces_untarg_proline	-0.4855156812203735	0.00562776469046549	species_relab	feces_untarg_metabo	0.01352151164738931	0.014787034302590955
Phocaeicola_dorei.t__SGB1815	feces_untarg_proline	-0.4834926074998841	0.00586047413862849	species_relab	feces_untarg_metabo	0.01393762219414275	0.015279093289995707
Ruminococcus_bromii.t__SGB4285	feces_untarg_proline	-0.4800470056155313	0.00627572173409141	species_relab	feces_untarg_metabo	0.01467263392110102	0.015920251500137053
Blautia_SGB4815.t__SGB4815	feces_untarg_N-methylproline	0.48000555122218136	0.00628086634525955	species_relab	feces_untarg_metabo	0.01467790598196688	0.015920251500137053
Dorea_longicatena.t__SGB4581	plasma_untarg_2-piperidinone	0.576399223949891	0.00623820876554156	species_relab	plasma_untarg_metabo	0.01461545962172922	0.015920251500137053
Phocaeicola_dorei.t__SGB1815	plasma_untarg_2-piperidinone	0.576399223949891	0.00623820876554156	species_relab	plasma_untarg_metabo	0.01461545962172922	0.015920251500137053
Ruminococcus_bicirculans.t__SGB4262	feces_untarg_proline	-0.478790338061564	0.00643328264224362	species_relab	feces_untarg_metabo	0.01496131211071341	0.01619412527185463
Clostridium_sp_AM22_11AC.t__SGB4749	feces_untarg_prolylhydroxyproline	-0.4779648577840722	0.00653860414824032	species_relab	feces_untarg_metabo	0.01515210932572011	0.0163465103706008
Lachnospiraceae_bacterium.t__SGB4781	feces_untarg_proline	-0.4760664829492656	0.00678639677322503	species_relab	feces_untarg_metabo	0.01554909297142401	0.016850577021953306
Eubacterium_ventriosum.t__SGB5045	plasma_untarg_proline	0.5706859738810142	0.00689889269369984	species_relab	plasma_untarg_metabo	0.01573758709788374	0.017014161035138118
Clostridiales_bacterium_KLE1615.t__SGB5090	plasma_untarg_proline	0.567713651100384	0.00726477049170785	species_relab	plasma_untarg_metabo	0.01636682382885097	0.017654530671130774
Blautia_sp_MCC283.t__SGB4828	feces_untarg_N-methylproline	0.4722864364114628	0.00730365515435821	species_relab	feces_untarg_metabo	0.01642657251134716	0.017654530671130774
Eubacterium_rectale.t__SGB4933	feces_untarg_N-methylproline	0.4726989136485034	0.00724563235998424	species_relab	feces_untarg_metabo	0.01634560869045193	0.017654530671130774
