bodysite	metabolites	restored	type_restoration	FMT_effect	chem_name	SUPER_PATHWAY	SUB_PATHWAY
feces	100003594	NS	over	NS	feces_untarg_phenylalanyltryptophan	Peptide	Dipeptide
feces	100003641	NS	over	NS	feces_untarg_valylglycine	Peptide	Dipeptide
feces	100003668	NS	over	NS	feces_untarg_prolylalanine	Peptide	Dipeptide
feces	100003686	NS	normal	NS	feces_untarg_N-palmitoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)
feces	100003695	NS	normal	NS	feces_untarg_mannonate*	Xenobiotics	Food Component/Plant
feces	100003901	NS	normal	NS	feces_untarg_2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid
feces	100003926	NS	normal	NS	feces_untarg_(R)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)
feces	100004054	NS	normal	NS	feces_untarg_margaroylcarnitine (C17)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)
feces	100004089	restored	over	restored over	feces_untarg_2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy
feces	100004111	NS	normal	NS	feces_untarg_4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism
feces	100004182	NS	normal	NS	feces_untarg_3beta-hydroxy-5-cholenoate	Lipid	Secondary Bile Acid Metabolism
feces	100004284	NS	normal	NS	feces_untarg_dimethyl sulfone	Xenobiotics	Chemical
feces	100004295	NS	normal	NS	feces_untarg_2-piperidinone	Xenobiotics	Food Component/Plant
feces	100004318	restored	normal	restored normal	feces_untarg_indolin-2-one	Xenobiotics	Food Component/Plant
feces	100004327	NS	normal	NS	feces_untarg_1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid
feces	100004329	NS	normal	NS	feces_untarg_sphingomyelin (d18:2/16:0, d18:1/16:1)*	Lipid	Sphingomyelins
feces	100004396	NS	partial	NS	feces_untarg_3-hydroxyadipate	Lipid	Fatty Acid, Dicarboxylate
feces	100004499	NS	normal	NS	feces_untarg_6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism
feces	100004523	NS	normal	NS	feces_untarg_N-delta-acetylornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100004542	NS	normal	NS	feces_untarg_2-aminoheptanoate	Lipid	Fatty Acid, Amino
feces	100004561	NS	normal	NS	feces_untarg_N-formylanthranilic acid	Amino Acid	Tryptophan Metabolism
feces	100004575	NS	normal	NS	feces_untarg_N2,N5-diacetylornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100004635	NS	normal	NS	feces_untarg_methionine sulfone	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism
feces	100005350	NS	normal	NS	feces_untarg_1-linolenoyl-GPC (18:3)*	Lipid	Lysophospholipid
feces	100005352	NS	normal	NS	feces_untarg_1-eicosenoyl-GPC (20:1)*	Lipid	Lysophospholipid
