"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.5548355534526	0.234576805282353	1.69616987122367e-10	3.97657603142439e-09	1.69616987122367e-10	2.88079644795132e-09	"abundance"	30	30
"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.477820700158631	0.0642455397776603	1.8427648296182e-10	4.22193855602433e-09	1.8427648296182e-10	3.05854722745161e-09	"abundance"	30	30
"PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.616686957336555	0.0947857076083762	1.85799597929304e-10	4.22193855602433e-09	1.85799597929304e-10	3.05854722745161e-09	"abundance"	30	30
"CENTFERM.PWY..pyruvate.fermentation.to.butanoate"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-4.51435263960947	0.534411826672665	2.23693952250414e-10	5.00599950717973e-09	2.23693952250414e-10	3.62655346830217e-09	"abundance"	30	27
"P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.15311614879375	0.185839347658616	2.31033747688514e-10	5.09308724381992e-09	2.31033747688514e-10	3.68964343323447e-09	"abundance"	30	30
"PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-4.45695849438641	0.528942147360116	2.43788322862315e-10	5.29522577746528e-09	2.43788322862315e-10	3.83608096268643e-09	"abundance"	30	27
"PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.877258650143575	0.15419488271091	3.94834387407172e-10	8.45174478551295e-09	3.94834387407172e-10	6.1227941235605e-09	"abundance"	30	30
"PWY.6628..superpathway.of.L.phenylalanine.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.622249652191942	0.118405681165531	5.76480085889841e-10	1.21637298122756e-08	5.76480085889841e-10	8.81190988431614e-09	"abundance"	30	30
"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.521740442971723	0.103900682684944	8.33243696263253e-10	1.73338160476172e-08	8.33243696263253e-10	1.25573345774885e-08	"abundance"	30	30
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-2.2558624940848	0.354192863283138	1.03912745075263e-09	2.13165450661338e-08	1.03912745075263e-09	1.54425885042405e-08	"abundance"	30	30
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.559913440030966	0.118994860940474	1.3127690046133e-09	2.65610934221075e-08	1.3127690046133e-09	1.92419566429621e-08	"abundance"	30	30
"HSERMETANA.PWY..L.methionine.biosynthesis.III"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-2.78873176494345	0.432050718805314	1.84534887370802e-09	3.66598365590202e-08	1.84534887370802e-09	2.65579046162164e-08	"abundance"	30	30
"THRESYN.PWY..superpathway.of.L.threonine.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.367168638635952	0.0834296082645019	1.86153537029554e-09	3.66598365590202e-08	1.86153537029554e-09	2.65579046162164e-08	"abundance"	30	30
"PWY.6731..starch.degradation.III"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.62348243060189	0.286703429104057	2.02456185149913e-09	3.93457612455818e-08	2.02456185149913e-09	2.85036997513693e-08	"abundance"	30	30
"PWY.7977..L.methionine.biosynthesis.IV"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.538226040060879	0.124585966403808	2.05298267275111e-09	3.9379940359135e-08	2.05298267275111e-09	2.85284605174505e-08	"abundance"	30	30
"PWY.5837..2.carboxy.1.4.naphthoquinol.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.78170293316117	0.461858270017774	2.31855157295513e-09	4.3903854785317e-08	2.31855157295513e-09	3.18057715777178e-08	"abundance"	30	28
"METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.33611496866766	0.437059446611429	3.59413099282335e-09	6.71966009670898e-08	3.59413099282335e-09	4.8680002054696e-08	"abundance"	30	30
"PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.464420469720805	0.11919846920304	3.95944399489423e-09	7.31012347557347e-08	3.95944399489423e-09	5.29575634317103e-08	"abundance"	30	30
"PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.274401570102595	0.0779338133133092	4.17910461791848e-09	7.62041669217975e-08	4.17910461791848e-09	5.52054560638614e-08	"abundance"	30	30
"PWY.6897..thiamine.diphosphate.salvage.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.417496486766328	0.119641287105495	6.3729146404512e-09	1.14790181999347e-07	6.3729146404512e-09	8.31587642107656e-08	"abundance"	30	30
"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.19162444844136	0.204661238562825	8.54575754605236e-09	1.52073299946016e-07	1.70915150190747e-08	2.10205989315057e-07	"abundance"	30	23
"PWY.5695..inosine.5..phosphate.degradation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.392567486896489	0.123252053672866	9.7294008405413e-09	1.71075298112851e-07	9.7294008405413e-09	1.25427215655171e-07	"abundance"	30	30
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.04254395753511	0.416309025388394	1.2199080967612e-08	2.11976971637211e-07	1.2199080967612e-08	1.55393055182677e-07	"abundance"	30	28
"PWY.2942..L.lysine.biosynthesis.III"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.79309712927662	0.348696663677418	1.26750882012416e-08	2.17687270618999e-07	1.26750882012416e-08	1.59556992650924e-07	"abundance"	30	30
"PWY.6823..molybdopterin.biosynthesis"	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	-0.772220961846663	0.116745198637417	1.46955818625116e-08	2.49487062194594e-07	1.46955818625116e-08	1.82840378987063e-07	"abundance"	30	30
"PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-2.8518490419748	0.438039775939151	2.30409487045335e-08	3.86721377688591e-07	4.60818968781817e-08	5.30189566232843e-07	"abundance"	30	23
"GLUTORN.PWY..L.ornithine.biosynthesis.I"	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	-0.490595917948786	0.0719375774937061	2.44144313654715e-08	4.05169832885409e-07	2.44144313654715e-08	2.96857290466528e-07	"abundance"	30	30
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.40740555609164	0.143845135302958	2.65237103391769e-08	4.35283557455158e-07	2.65237103391769e-08	3.18880562504711e-07	"abundance"	30	30
"GLUCARDEG.PWY..D.glucarate.degradation.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.79794533832762	0.550088703664121	2.95255335736044e-08	4.79222121848503e-07	2.95255335736044e-08	3.51025788041742e-07	"abundance"	30	29
"PWY.7663..gondoate.biosynthesis..anaerobic."	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	2.40414547926883	0.249354281338316	2.99866811381833e-08	4.81416609142355e-07	2.99866811381833e-08	3.52590646350067e-07	"abundance"	30	30
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	-0.483790986883076	0.0753873777871471	4.19911985183319e-08	6.66892475393292e-07	4.19911985183319e-08	4.88375895811034e-07	"abundance"	30	30
"PWY.5973..cis.vaccenate.biosynthesis"	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	2.16957272681816	0.224161236135813	5.37876121420311e-08	8.45152160997659e-07	5.37876121420311e-08	6.1226324459546e-07	"abundance"	30	30
"HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.78502245046722	0.561836627472481	5.64335964625684e-08	8.77393915528563e-07	5.64335964625684e-08	6.3562050752577e-07	"abundance"	30	28
"PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	4.55888532104493	0.396571994794734	6.82674512475501e-08	1.05032318221491e-06	6.82674512475501e-08	7.60897633696652e-07	"abundance"	30	28
"PWY.6936..seleno.amino.acid.biosynthesis..plants."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.257089834014774	0.139413333603251	1.17159304258152e-07	1.78396177720918e-06	1.17159304258152e-07	1.29237583047652e-06	"abundance"	30	30
"GALACTARDEG.PWY..D.galactarate.degradation.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.9664679237159	0.624981290570778	1.27289392137797e-07	1.90071388048696e-06	1.27289392137797e-07	1.37695589175426e-06	"abundance"	30	29
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	5.9664679237159	0.624981290570778	1.27400591853899e-07	1.90071388048696e-06	1.27400591853899e-07	1.37695589175426e-06	"abundance"	30	29
"PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline."	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	1.69669338320816	0.166252837950902	1.53303436611907e-07	2.26429175875786e-06	1.53303436611907e-07	1.6403467717474e-06	"abundance"	30	30
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"group_FMT"	"after_FMT"	"group_FMTafter_FMT"	-0.419052122712658	0.0743911196936749	1.5789695240187e-07	2.30904751185705e-06	1.5789695240187e-07	1.67276969376239e-06	"abundance"	30	30
